,human_1.csv,human_9.csv,human_4.csv,human_53.csv,human_15.csv,human_60.csv,human_12.csv,human_39.csv,human_58.csv,human_62.csv
smape_LSTM_Multistep,13.830561401251943,338.0284584679168,85.40536312540698,7.882153540264514,4.095748438206723,35.542068355824576,30.04095807472457,17.515879448907306,44.626937684759326,19.13050957976232
mase_LSTM_Multistep,1.7781880359924676,0.8980435520275052,inf,3.266353591288336,0.8958011396337381,inf,inf,1.3640799622312298,1.9451042692006526,1.1074759356725237
mues_LSTM_Multistep,0.5555555555555556,0.28086419753086417,1.0,0.9393939393939394,0.5308641975308641,0.0,0.0,0.5216049382716049,0.23765432098765432,0.2561728395061728
moes_LSTM_Multistep,0.44444444444444436,0.7191358024691359,0.0,0.06060606060606061,0.46913580246913583,1.0,1.0,0.47839506172839513,0.7623456790123456,0.7438271604938271
muas_LSTM_Multistep,0.15873367504352145,0.9283744903879109,0.5949966892279728,0.07372541562382648,0.04905489594489726,0.0,0.0,0.20239548508642358,0.18990376857471059,0.08129471847204577
moas_LSTM_Multistep,0.09399911773404855,5.267248811895114,0.0,0.0012358458505179956,0.030917130336514116,0.4355355500896266,0.3563979634478109,0.11810389550792143,0.7658791742127664,0.2710960540972937
smape_NP_Multistep,50.42356596351764,223.47313573633514,10756.159135910888,61.02412727679993,27.345195282172856,95.22484830429336,53.099529582752545,378.0164205882283,153.3023522158778,265.2526355618785
mase_NP_Multistep,5.08013254301104,3.2977548658442633,inf,40.27276009661256,5.743449621448954,inf,inf,3.90200111589081,26.065462910345214,3.4752877989270017
mues_NP_Multistep,0.6111111111111113,0.18827160493827164,1.0,0.0,0.4259259259259259,0.0,0.45454545454545453,0.8364197530864197,0.0,0.7530864197530863
moes_NP_Multistep,0.3888888888888889,0.8117283950617283,0.0,1.0,0.5740740740740742,1.0,0.5454545454545454,0.16358024691358025,1.0,0.2469135802469136
muas_NP_Multistep,0.428237099288562,14.795471380709579,1.9593719672245793,0.0,0.2791379382707382,0.0,0.14414652040982986,0.5957052311191022,0.0,0.7874885515356629
moas_NP_Multistep,0.3725496736389785,30.553279898042522,0.0,0.8990127801688272,0.2572573970409567,2.02337274290615,0.6121609719669074,0.18161538562579888,7.456225765210512,0.2819034491403501
smape_DeepAR_Multistep,13.35183177213518,466.6204447133293,19.235380417392502,4.107390258266693,4.052122569137366,3.5935161810599787,4.4923250726301465,14.956924071747975,37.716169270444965,16.801723475445815
mase_DeepAR_Multistep,1.793081885422652,1.0080945770652028,inf,1.6466909681961197,0.8930508642779065,inf,inf,1.1791234824367027,1.576059446624129,0.945778259014702
mues_DeepAR_Multistep,0.3919753086419753,0.19135802469135804,0.48484848484848486,0.48484848484848486,0.3611111111111111,0.45454545454545453,0.45454545454545453,0.5524691358024691,0.39197530864197533,0.5154320987654322
moes_DeepAR_Multistep,0.6080246913580247,0.8086419753086419,0.5151515151515151,0.5151515151515151,0.6388888888888888,0.5454545454545454,0.5454545454545454,0.4475308641975308,0.6080246913580246,0.48456790123456794
muas_DeepAR_Multistep,0.10376643177398695,0.6481853272243877,0.08576792790288441,0.021001874652449924,0.0497068824444538,0.01740857806597437,0.023500234213832214,0.17218814366669402,0.3014460480776481,0.1516492334212665
moas_DeepAR_Multistep,0.12422188353121578,6.169652593701884,0.11238679444804024,0.019937540944164472,0.03707859884176555,0.01831747780366086,0.020722224102568316,0.09482666299496618,0.48905417845826793,0.1958033362059988
smape_NBeats_Multistep,12.8930005261094,452.23111697087165,5.3331458934337475,3.2601859428518227,3.423708504949125,3.726786476570007,4.888099826967733,11.0172560902896,9.70805871924941,9.395119176665721
mase_NBeats_Multistep,1.786521161315955,0.5841875678869618,inf,0.9788438161771161,0.7598783612158696,inf,inf,0.7910629113721203,0.39299750156576424,0.5238424176132578
mues_NBeats_Multistep,0.16666666666666666,0.5123456790123457,0.6363636363636364,0.6666666666666666,0.54320987654321,0.42424242424242425,0.42424242424242425,0.9382716049382717,0.7654320987654321,0.5493827160493828
moes_NBeats_Multistep,0.8333333333333331,0.4876543209876544,0.36363636363636365,0.3333333333333333,0.4567901234567901,0.5757575757575758,0.5757575757575758,0.06172839506172839,0.23456790123456792,0.4506172839506172
