,finance_4.csv,finance_7.csv,finance_2.csv,finance_1.csv,finance_9.csv,finance_8.csv,finance_6.csv,finance_5.csv,finance_3.csv,finance_71.csv
smape_LSTM_1step,44.28285199872114,36.67296687911732,86.95119966467975,75.1457872410362,8.601240697059886,24.860639568845198,24.87271378932997,23.776693186103792,12.511165204917036,37.13016143300962
mase_LSTM_1step,0.4352800523148107,5.582040027028809,4.957559162708384,5.961839066236709,6.176422563393652,29.31182913797706,3.5174571184564054,4.9017779133576145,3.185748145770834,inf
mues_LSTM_1step,0.6,0.75,0.375,1.0,0.0,1.0,1.0,0.8888888888888888,0.5,0.2661290322580645
moes_LSTM_1step,0.4,0.25,0.625,0.0,1.0,0.0,0.0,0.1111111111111111,0.5,0.7338709677419355
muas_LSTM_1step,0.25975131867906526,0.2275919583647031,0.09131662189387789,0.5448333564935155,0.0,0.22022120979019588,0.21155312071668736,0.1892924352527836,0.04297470642553763,0.03425505624756048
moas_LSTM_1step,0.08376234843473981,0.09659014216485454,2.435850578486106,0.0,0.09005755015731187,0.0,0.0,0.010232520274969742,0.08925009418859801,0.48202066656819825
smape_NP_1step,41.292090196840114,16.979879366596343,152.44886832687416,39.40306769834689,170.57283875656512,4.330293829307825,55.79772707835756,4373.847449437849,289.0694833190081,252.4499916580707
mase_NP_1step,0.4293580949144687,3.8925580144871508,15.550268313333987,5.272681659758906,55.672419100978935,15.688397138781465,10.284506977332315,13.185844169421124,68.40849041525705,inf
mues_NP_1step,0.6,0.5,0.25,0.0,0.5,0.8,0.25,0.5555555555555556,1.0,0.33064516129032256
moes_NP_1step,0.4,0.5,0.75,1.0,0.5,0.2,0.75,0.4444444444444444,0.0,0.6693548387096774
muas_NP_1step,0.2171440521599694,0.10641978488864944,0.4658936277249339,0.0,0.5752761277362778,0.030302708939681806,0.11711374833603731,0.7224651975169291,1.1976750954175313,0.4195643632443667
moas_NP_1step,0.1466236222618592,0.04212366651498527,6.3120685592874395,0.49555697680040445,0.07464621966776326,0.012104129077994664,0.46640649045843996,0.12287775319374858,0.0,0.5277725094405243
smape_DeepAR_1step,54.93968911424376,23.765178898968202,91.53595048122006,23.220177435626603,2.6107230283462597,6.785572884954215,11.431223608977966,8.580878392254737,10.066958567208852,13.708905232345844
mase_DeepAR_1step,0.8571997821143456,3.6560915870024226,6.430478485904647,2.6006776274246244,1.6870237101412373,11.316715815716766,2.6428748257683483,1.3081673566336185,3.099924072759871,inf
mues_DeepAR_1step,0.4,0.75,0.25,0.5555555555555556,0.5,0.4,0.625,0.2222222222222222,0.6666666666666666,0.29838709677419356
moes_DeepAR_1step,0.6,0.25,0.75,0.4444444444444444,0.5,0.6,0.375,0.7777777777777778,0.3333333333333333,0.7016129032258065
muas_DeepAR_1step,0.12070235089689092,0.1423210996883339,0.05638280518064285,0.10672347622022116,0.01722765583332251,0.03215718837247365,0.04520832864123832,0.0223484334111453,0.050654325362173284,0.026255426179550134
moas_DeepAR_1step,0.6483661416007023,0.08999039633735646,3.1196508868322512,0.12853904387300538,0.008638681084439577,0.034738848575885835,0.07326650716639277,0.06758027700965144,0.05196589489809065,0.12290064767029693
smape_NBeats_1step,53.76674304852198,24.619512563454776,90.6487013906133,22.57187055191891,2.4251225543443797,5.818720800036941,12.208144090287636,8.814023107219018,9.07062786718582,10.45170036458423
mase_NBeats_1step,0.781947036979861,3.883168976952046,5.792044758763973,2.228645431022782,1.565984464356328,7.938939538175227,2.6884917108180386,1.1902951834368822,2.640382262942302,inf
mues_NBeats_1step,0.4,0.75,0.125,0.6666666666666666,0.5,0.6,0.625,0.2222222222222222,0.6666666666666666,0.18548387096774194
moes_NBeats_1step,0.6,0.25,0.875,0.3333333333333333,0.5,0.4,0.375,0.7777777777777778,0.3333333333333333,0.8145161290322581
muas_NBeats_1step,0.13379589826468408,0.14757800316855513,0.05924478593546049,0.14020846975056422,0.015871780413412286,0.03724563881217267,0.05544270042091427,0.020984750943245613,0.04214263936692623,0.010062946235367954
moas_NBeats_1step,0.5677408825387771,0.09147001356026867,2.7875969070275888,0.06945878341038714,0.008138006938337848,0.019058546836574958,0.06913741914762359,0.07202876902127471,0.05069820940154054,0.10333985905779254
smape_TFT_1step,200.0,22.01576146130712,92.29933019376111,33.19900459979655,153.2232502168703,200.0,24.651528009667572,7.868275936335288,12.88455021128732,200.0
mase_TFT_1step,1.2974991545657333,1.1670356851643866,5.952333095117338,2.9703526494441213,63.00514768328615,160.47447049003705,3.654730202203223,1.5594676742984026,3.5557342930708007,inf
mues_TFT_1step,1.0,0.5,0.375,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,1.0
moes_TFT_1step,0.0,0.5,0.625,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0
muas_TFT_1step,1.0,0.03152499852311371,0.0988704008815271,0.27665666673553735,0.780423919282674,1.0,0.1927767045215485,0.043940271380486,0.12015812461684315,1.0
moas_TFT_1step,0.0,0.23947337822842088,2.8988370300283943,0.0,0.0,0.0,0.0,0.03483469173605094,0.0,0.0
