,economics_3.csv,economics_2.csv,economics_9.csv,economics_8.csv,economics_4.csv,economics_1.csv,economics_5.csv,economics_7.csv,economics_6.csv,economics_69.csv
smape_LSTM_Multistep,102.52872313522433,111.80182029271243,21.060012303035254,40.04551498311848,37.891280916093905,41.51224361340055,33.10037278504833,18.638757865276368,53.253285320818804,3.5469778177627176
mase_LSTM_Multistep,12.448677930883386,6.594636810296403,1.6774917792316086,2.0145687145762334,5.165184843793484,184.8472567661547,1.57553363758176,1.7696510606764269,50.09455247099084,2.666166529552474
mues_LSTM_Multistep,1.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8143939393939394
moes_LSTM_Multistep,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.18560606060606058
muas_LSTM_Multistep,0.6770189825126725,0.7144131103491375,0.18977524900556864,0.33305595062282145,0.0,0.3423069454325365,0.18939532785891114,0.16077204012168275,0.38073128818649965,0.03845117270255117
moas_LSTM_Multistep,0.0,0.0,0.0,0.0,0.47691093141086555,0.0,0.12220216844038745,0.003025861838135541,0.0,0.018756519951378295
smape_NP_Multistep,24.594263050469404,121.27563591216632,24.829691693580457,575.4559408138315,162.35163719511806,49.15282215162417,363.01502866750116,96.26583841209221,21350.40089569632,48.03561366442973
mase_NP_Multistep,5.468638553413243,27.819975278461424,1.996123203156543,14.238888303510933,23.56076437081924,362.11646775614355,25.632073533331422,2.833077444814618,176.69219358298275,27.408369249511043
mues_NP_Multistep,0.0,0.0,0.6666666666666666,1.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.9090909090909091
moes_NP_Multistep,1.0,1.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0909090909090909
muas_NP_Multistep,0.0,0.0,0.16258447816933233,2.0405242367241914,0.36805931955917665,0.0,4.969540242078552,0.46424917748295974,4.521215441494574,0.3847844873822277
moas_NP_Multistep,0.2911714415185281,3.12564120596252,0.0560578416891293,0.0,2.2479288363485264,0.6635872110887112,0.0,0.0,0.0,0.060986809734849046
smape_DeepAR_Multistep,5.598459090343386,10.88843742851679,5.88177883682345,15.462145101535745,5.40399508450222,5.176641672633049,17.349820374516415,7.140640028396608,30.35266642593096,2.1341863419276503
mase_DeepAR_Multistep,0.9876118518427615,0.8341569003525265,0.47142062066712054,0.9539812553901799,0.6580182787377856,3.537644216375183,0.7578346188941487,1.0235478952631447,8.658622143684946,1.628817492931251
mues_DeepAR_Multistep,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.46590909090909083
moes_DeepAR_Multistep,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5340909090909092
muas_DeepAR_Multistep,0.03756759362757713,0.0611921712662778,0.05169686745661169,0.1406682609742482,0.0036577923871492536,0.022893542352472023,0.0696716634813099,0.06284031676282452,0.06358343660051308,0.01842546693388358
moas_DeepAR_Multistep,0.01734116898519822,0.04339709956969767,0.004976326876663093,0.0,0.05262884158637466,0.029451181970622266,0.11709436638490218,0.004921695381295887,0.3671468570514594,0.016058679942039158
smape_NBeats_Multistep,5.734872674871088,9.57826694118013,5.144249515366517,10.749907580912074,5.360829927027994,5.784246194731966,17.800687185482307,10.197397846114713,32.769589804075,1.2643083023535997
mase_NBeats_Multistep,0.9312188754569402,0.683968741612088,0.446358120129287,0.7067690772846236,0.6480141723862738,6.366317170413221,0.7863569021959775,1.2179680193693188,14.554611850354645,0.9516774026012095
mues_NBeats_Multistep,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.4848484848484848
moes_NBeats_Multistep,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.5151515151515151
muas_NBeats_Multistep,0.04482821242639281,0.06714966156713922,0.04304846066676926,0.09898777285026844,0.006855991868471074,0.030559726645296367,0.07674591852121478,0.09519641991411892,0.1093061748248055,0.011430232783262561
moas_NBeats_Multistep,0.010765395412951148,0.023447706167125885,0.006858522478843288,0.0,0.04866551693754603,0.0272470105051496,0.11199151458022087,0.0,0.30364934041954444,0.008276845173725234
smape_TFT_Multistep,200.0,166.74022677038127,66.61010958356164,199.99956930625584,168.36907626271673,200.0,104.07267169445002,115.54218662593178,93.24487824279582,2.8775054059859704
mase_TFT_Multistep,18.17020544674094,7.8167129763589545,4.672729747801588,5.9805491364421846,8.21539989455628,464.2895010018381,3.1592943898131196,7.553714765964988,32.04726266719516,2.2606951018776216
mues_TFT_Multistep,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.4204545454545455
moes_TFT_Multistep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5795454545454545
muas_TFT_Multistep,1.0,0.8892155823671146,0.4987447545320552,0.9999989232621616,0.8963285010882319,1.0,0.6123640244027608,0.7320198553978966,0.4353716283237193,0.02632650638862323
moas_TFT_Multistep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18579980191009682,0.026566632793042888
