,nature_7.csv,nature_2.csv,nature_5.csv
smape_LSTM_1step,15.801290059970798,13.415564728349908,15.594958064626383
mase_LSTM_1step,2.076316077653878,inf,4.8117719554065665
mues_LSTM_1step,0.46153846153846156,0.48031496062992124,0.875
moes_LSTM_1step,0.5384615384615384,0.5196850393700787,0.125
muas_LSTM_1step,0.040332804289130095,0.05399212731303282,0.1365056187690545
moas_LSTM_1step,0.1369014422303868,0.08323476022572009,0.006036299979432308
smape_NP_1step,404.0917831126618,30.819725177455613,106.84798684162058
mase_NP_1step,11.574695416422795,inf,18.494557744295896
mues_NP_1step,0.8846153846153846,0.47244094488188976,1.0
moes_NP_1step,0.11538461538461539,0.5275590551181102,0.0
muas_NP_1step,0.9212900758194843,0.1450820081079761,0.6796659534215664
moas_NP_1step,0.07329923738189478,0.12534010313479418,0.0
smape_DeepAR_1step,9.181718136477787,6.938650520363251,7.6664407763784395
mase_DeepAR_1step,1.1302841108484272,inf,1.5610896905227853
mues_DeepAR_1step,0.7307692307692307,0.44881889763779526,0.5416666666666666
moes_DeepAR_1step,0.2692307692307692,0.5511811023622047,0.4583333333333333
muas_DeepAR_1step,0.059814175384940334,0.03283920424169471,0.031100594781625107
moas_DeepAR_1step,0.03170028943307236,0.03634456890244405,0.04743803894373616
smape_NBeats_1step,5.89673769457373,6.552191073733957,4.773662754403752
mase_NBeats_1step,0.511767131504856,inf,0.7709495667574408
mues_NBeats_1step,0.5384615384615384,0.47244094488188976,0.5416666666666666
moes_NBeats_1step,0.46153846153846156,0.5275590551181102,0.4583333333333333
muas_NBeats_1step,0.0333906787155878,0.03361706978970988,0.015801836266289778
moas_NBeats_1step,0.025174613737961635,0.03147436863410692,0.03342763229682812
smape_TFT_1step,200.0,7.021087674409931,11.465343216181429
mase_TFT_1step,11.473264800024866,inf,2.8878577233265896
mues_TFT_1step,1.0,0.6456692913385826,0.5416666666666666
moes_TFT_1step,0.0,0.3543307086614173,0.4583333333333333
muas_TFT_1step,1.0,0.047701640733792565,0.06374711797464278
moas_TFT_1step,0.0,0.01995952541154736,0.048675275732604696
