,economics_3.csv,economics_2.csv,economics_9.csv,economics_8.csv,economics_4.csv,economics_1.csv,economics_5.csv,economics_7.csv,economics_6.csv,economics_69.csv
smape_LSTM_1step,174.07504017787525,98.3936346588348,25.909117527136996,43.942334172950645,25.09442132080594,45.40245256629576,21.612433168562273,64.38691312206107,68.30572922127688,3.5288001067513486
mase_LSTM_1step,17.048415996769922,6.010017593956156,2.0488939370164476,2.0895052821918556,2.5448200389329383,198.38437006694423,0.8528604410054591,4.8544513262870215,55.96211546515814,4.656194890279222
mues_LSTM_1step,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.9230769230769231
moes_LSTM_1step,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.07692307692307693
muas_LSTM_1step,0.9295019617796977,0.6589854064123885,0.22862330531662992,0.3600152894289022,0.075990119769392,0.3684980794081532,0.08127461982954275,0.475943123587657,0.44996001281213943,0.03373472895129172
moas_LSTM_1step,0.0,0.0,0.0,0.0,0.190189456004856,0.0,0.15593574774094615,0.0,0.0009737754673814872,0.0005072739915904148
smape_NP_1step,28.344763703770383,121.41982142447928,41.21191089686273,83.96614862675874,283.05506097996664,38.8946144368122,117.50530660111342,112.72345188911824,2325.274268726866,7.741685253925407
mase_NP_1step,5.633094363434705,29.46435766480735,2.871710717791533,4.014932482986171,28.885826985189198,323.63813324005986,16.029295769792764,2.6729322398576527,173.23325183484022,24.76886262335341
mues_NP_1step,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,1.0,0.6538461538461539
moes_NP_1step,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.34615384615384615
muas_NP_1step,0.0,0.0,0.2574827918012576,0.455036987331392,2.190955708660663,0.12215822455397196,0.0,0.4361000541549774,1.8642883412386013,0.05740803691208052
moas_NP_1step,0.33892510179795726,3.131281831963204,0.08970102569412268,0.01266186640384429,0.7027933395531297,0.30747228639633223,2.9017315191085995,0.10319508822809535,0.0,0.016778002182969286
smape_DeepAR_1step,5.708268096150664,9.857757280722486,5.955288073517406,21.210669798398243,6.163710231600387,5.594337515770635,17.979584866265295,7.48542075541873,31.322941295724075,2.0169978191912366
mase_DeepAR_1step,0.9699832062471246,0.7430121481658675,0.4685540497979909,1.2869551309704812,0.7615643800033413,7.664701285312993,0.8206778759676029,0.8766707238772349,10.069701666204486,6.07575332034265
mues_DeepAR_1step,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5384615384615384
moes_DeepAR_1step,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.46153846153846156
muas_DeepAR_1step,0.040916030504667196,0.06274810281153513,0.054373911930948815,0.18878833906256642,0.006264531369963715,0.03022117053709256,0.08558404059771996,0.05929026104010935,0.07363773533604083,0.013014359078477384
moas_DeepAR_1step,0.01464707305782057,0.03177191778360236,0.0026958034060754563,0.0,0.05815602747527571,0.025659823292963953,0.10062116927210124,0.012989893068183865,0.3636194755570656,0.0069715577017509306
smape_NBeats_1step,5.478164114643612,9.778801873430305,6.130291184985956,15.004712406367682,5.960158588205931,5.4574316947034935,18.49443352508153,8.78160190629627,31.094970872914008,0.9247365088918063
mase_NBeats_1step,0.9508055117939156,0.7006159034857801,0.45270290588731715,0.9471755651055821,0.6930194544464893,3.0972554689702894,0.8376585590205016,1.0952848997618876,11.292324585683355,2.2231390043508465
mues_NBeats_1step,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.38461538461538464
moes_NBeats_1step,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6153846153846154
muas_NBeats_1step,0.038025334018143696,0.06904772842866913,0.0585752040524806,0.13638961633397328,0.007781883654452932,0.025157008052552304,0.0859389236460627,0.08133340639237273,0.08389755242584719,0.0043318791145067585
moas_NBeats_1step,0.01559186172473515,0.02341376932989229,0.0,0.0,0.05401292320539708,0.02985096767902556,0.10695320643025243,0.0010861313131037816,0.33152660758321867,0.004900158363733161
smape_TFT_1step,200.0,8.66589859713931,148.16526643372302,200.0,11.065401601580724,8.986179926621709,200.0,83.57408796995286,51.05813776374652,4.564386271362345
mase_TFT_1step,18.17020544674094,0.7527515874838597,8.503474833735423,5.980556434745559,1.2274085056125263,38.58616556055317,5.903320352565562,6.262378666681857,12.96026015520382,18.85569054565264
mues_TFT_1step,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.11538461538461539
moes_TFT_1step,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.8846153846153846
muas_TFT_1step,1.0,0.051108317055793905,0.8220709815015083,1.0,0.022271516820158568,0.028253052475867433,1.0,0.5222481759225182,0.18719329436299884,0.005352745374570188
moas_TFT_1step,0.0,0.03528242017408298,0.0,0.0,0.0938074954636036,0.06326598387622549,0.0,0.0,0.4783589902363791,0.041304482119849634
