nature_83.csv,nature_97.csv,nature_68.csv
35.28858599619227,4.546735225363582,0.840738163408491
inf,0.675407479040477,1.3301736670344244
0.32558139534883723,0.75,0.3939393939393939
0.6744186046511628,0.25,0.6060606060606061
0.05278697637654739,0.0339536892155975,0.0033143999314492996
0.44232780980573577,0.010650104158688943,0.0050996702572511255
99.78615214384509,6.511562909512533,3.10474553160866
inf,2.0926630087498674,5.069883532822213
0.2441860465116279,0.8333333333333334,0.7272727272727273
0.7558139534883721,0.16666666666666666,0.2727272727272727
0.17183471388943392,0.05469493349824636,0.02206424654417923
1.2704042514184637,0.008155020538345617,0.008755526737961213
45.035073306399546,3.9965220767555656,1.6395192327460033
inf,0.9550505172364557,3.0081811487201136
0.7325581395348837,0.6666666666666666,0.3939393939393939
0.26744186046511625,0.3333333333333333,0.6060606060606061
0.2825312553112449,0.027661641582001864,0.006722455092967463
0.10409907411291476,0.01201026664698547,0.009697254220961186
25.664575222546105,5.954461144835235,0.6375859697977275
inf,1.9690187461016855,1.0555807267348276
0.5232558139534884,0.9166666666666666,0.48484848484848486
0.47674418604651164,0.08333333333333333,0.5151515151515151
0.10156425434581261,0.05074050557312872,0.0025825890176296848
0.17927698846696571,0.007227639652131846,0.003807482416379266
23.645159112049335,190.09204720684954,1.9926060992177117
inf,31.7231344189322,4.0469301548399885
0.4883720930232558,1.0,0.30303030303030304
0.5116279069767442,0.0,0.696969696969697
0.09294652317311997,0.9714423664580627,0.0035016322856842503
0.16411807185238278,0.0,0.01663127328956783
